Wavelength (nm),Absorbance
1047.0,0.395
1048.0,0.395
1049.0,0.394
1050.0,0.394
1051.0,0.394
1052.0,0.393
1053.0,0.393
1054.0,0.393
1055.0,0.393
1056.0,0.392
1057.0,0.392
1058.0,0.392
1059.0,0.392
1060.0,0.391
1061.0,0.391
1062.0,0.391
1063.0,0.390
1064.0,0.390
1065.0,0.389
1066.0,0.389
1067.0,0.389
1068.0,0.388
1069.0,0.388
1070.0,0.388
1071.0,0.387
1072.0,0.387
1073.0,0.387
1074.0,0.386
1075.0,0.386
1076.0,0.386
1077.0,0.385
1078.0,0.385
1079.0,0.384
1080.0,0.384
1081.0,0.384
1082.0,0.383
1083.0,0.383
1084.0,0.383
1085.0,0.382
1086.0,0.382
1087.0,0.381
1088.0,0.381
1089.0,0.381
1090.0,0.380
1091.0,0.380
1092.0,0.379
1093.0,0.379
1094.0,0.379
1095.0,0.378
1096.0,0.378
1097.0,0.378
1098.0,0.377
1099.0,0.377
1100.0,0.376
